CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,BLOCKXCOORD,BLOCKYCOORD,WARD,ANC,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,START_DATE,END_DATE,lat,lon
13006676,1/16/2013 12:16:00 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:09 AM,2300 - 2399 BLOCK OF RAYNOLDS PLACE SE,402229,132014,8,8B,SEVENTH,702,36,,007408 1,007408,Precinct 115,1/15/2013 10:09:00 PM,1/15/2013 10:11:00 PM,38.8559347305753,-76.9743195212614
13006820,1/16/2013 11:00:00 AM,DAY,ROBBERY,GUN,9/23/2014 8:34:09 AM,1200 - 1233 BLOCK OF TALBERT STREET SE,400712,132733,8,8A,SEVENTH,703,37,,007407 2,007407,Precinct 119,1/16/2013 8:57:00 AM,1/16/2013 9:05:00 AM,38.8624143221594,-76.9917962491663
13006995,1/16/2013 5:28:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:06 AM,200 - 299 BLOCK OF O STREET SW,398739,133904,6,6D,FIRST,105,9,,011000 1,011000,Precinct 127,1/16/2013 5:28:00 PM,1/16/2013 5:28:00 PM,38.872962553358,-77.0145315434611
13007222,1/17/2013 10:06:00 AM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:09 AM,4953 - 5099 BLOCK OF G STREET SE,406004,134756,7,7E,SIXTH,604,33,,007707 1,007707,Precinct 106,1/17/2013 10:06:00 AM,1/17/2013 10:06:00 AM,38.880618111483,-76.9308035244702
13007401,1/17/2013 2:23:00 PM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:07 AM,KENILWORTH AVENUE NE AND HAYES STREET NE,404616.06133819,136928.44950048,7,7D,SIXTH,601,30,,009602 1,009602,Precinct 100,1/17/2013 2:23:00 PM,1/17/2013 2:23:00 PM,38.900196727144,-76.9467850049631
13007464,1/17/2013 7:00:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:09 AM,9TH STREET SE AND BARNABY STREET SE,400789.27001469,129395.53000551,8,8E,SEVENTH,706,39,,009700 2,009700,Precinct 121,1/17/2013 7:00:00 PM,1/17/2013 7:00:00 PM,38.8323488599528,-76.9909097638467
13007528,1/17/2013 9:14:00 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:08 AM,1500 - 1599 BLOCK OF U STREET SE,401492,133069,8,8A,SEVENTH,701,28,,007503 1,007503,Precinct 114,1/17/2013 9:08:00 PM,1/17/2013 9:09:00 PM,38.8654401721777,-76.9828082651161
13007557,1/17/2013 10:34:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,2800 - 2899 BLOCK OF BUENA VISTA TERRACE SE,402815,131990,8,8B,SEVENTH,702,36,,007502 2,007502,Precinct 134,1/17/2013 10:34:00 PM,1/17/2013 10:34:00 PM,38.8557168481098,-76.9675682693796
13007718,1/18/2013 10:43:00 AM,DAY,ROBBERY,GUN,9/23/2014 8:34:09 AM,400 - 499 BLOCK OF CHAPLIN STREET SE,405034,135149,7,7F,SIXTH,603,33,,007703 1,007703,Precinct 103,1/18/2013 8:45:00 AM,1/18/2013 9:16:00 AM,38.8841644950889,-76.9419799531308
13007802,1/18/2013 1:56:00 PM,DAY,ROBBERY,GUN,9/23/2014 8:34:08 AM,1300 - 1399 BLOCK OF OAK STREET NW,397242,140663,1,1A,FOURTH,409,2,,002900 2,002900,Precinct 41,1/18/2013 1:56:00 PM,1/18/2013 1:56:00 PM,38.9338465836135,-77.0318098495549
